example_id                                              | status | run_time        |
------------------------------------------------------- | ------ | --------------- |
./spec/models/testimonials/nps_response_spec.rb[1:1]    | passed | 0.00021 seconds |
./spec/models/testimonials/nps_response_spec.rb[1:2]    | passed | 0.00026 seconds |
./spec/models/testimonials/nps_response_spec.rb[1:3:1]  | passed | 0.00022 seconds |
./spec/models/testimonials/nps_response_spec.rb[1:3:2]  | passed | 0.00148 seconds |
./spec/models/testimonials/prompt_event_spec.rb[1:1]    | passed | 0.00013 seconds |
./spec/models/testimonials/prompt_event_spec.rb[1:2]    | passed | 0.00083 seconds |
./spec/models/testimonials/prompt_event_spec.rb[1:3]    | passed | 0.00048 seconds |
./spec/models/testimonials/prompt_event_spec.rb[1:4]    | passed | 0.00094 seconds |
./spec/models/testimonials/prompt_event_spec.rb[1:5]    | passed | 0.00139 seconds |
./spec/models/testimonials/prompt_event_spec.rb[1:6]    | passed | 0.0012 seconds  |
./spec/models/testimonials/prompt_event_spec.rb[1:7]    | passed | 0.00146 seconds |
./spec/models/testimonials/prompt_event_spec.rb[1:8]    | passed | 0.00033 seconds |
./spec/models/testimonials/testimonial_spec.rb[1:1]     | passed | 0.00024 seconds |
./spec/models/testimonials/testimonial_spec.rb[1:2]     | passed | 0.00015 seconds |
./spec/models/testimonials/testimonial_spec.rb[1:3]     | passed | 0.00022 seconds |
./spec/models/testimonials/testimonial_spec.rb[1:4:1]   | passed | 0.00106 seconds |
./spec/models/testimonials/testimonial_spec.rb[1:5:1]   | passed | 0.00032 seconds |
./spec/models/testimonials/testimonial_spec.rb[1:6:1]   | passed | 0.00017 seconds |
./spec/requests/testimonials/api_spec.rb[1:1]           | passed | 0.00306 seconds |
./spec/requests/testimonials/api_spec.rb[1:2:1]         | passed | 0.00286 seconds |
./spec/requests/testimonials/api_spec.rb[1:2:2]         | passed | 0.002 seconds   |
./spec/requests/testimonials/api_spec.rb[1:2:3]         | passed | 0.00327 seconds |
./spec/requests/testimonials/api_spec.rb[1:2:4]         | passed | 0.01062 seconds |
./spec/requests/testimonials/dashboard_spec.rb[1:1]     | passed | 0.00113 seconds |
./spec/requests/testimonials/dashboard_spec.rb[1:2]     | passed | 0.00648 seconds |
./spec/requests/testimonials/dashboard_spec.rb[1:3:1]   | passed | 0.00468 seconds |
./spec/requests/testimonials/dashboard_spec.rb[1:3:2]   | passed | 0.00542 seconds |
./spec/requests/testimonials/dashboard_spec.rb[1:3:3]   | passed | 0.0031 seconds  |
./spec/requests/testimonials/dashboard_spec.rb[1:3:4]   | passed | 0.00492 seconds |
./spec/requests/testimonials/dashboard_spec.rb[1:3:5]   | passed | 0.00531 seconds |
./spec/requests/testimonials/nps_spec.rb[1:1]           | passed | 0.00164 seconds |
./spec/requests/testimonials/nps_spec.rb[1:2]           | passed | 0.00109 seconds |
./spec/requests/testimonials/nps_spec.rb[1:3]           | passed | 0.00153 seconds |
./spec/requests/testimonials/nps_spec.rb[1:4]           | passed | 0.00181 seconds |
./spec/requests/testimonials/nps_spec.rb[1:5]           | passed | 0.00129 seconds |
./spec/requests/testimonials/nps_spec.rb[1:6]           | passed | 0.00054 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:1]  | passed | 0.00389 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:2]  | passed | 0.03655 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:3]  | passed | 0.0028 seconds  |
./spec/requests/testimonials/testimonials_spec.rb[1:4]  | passed | 0.01128 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:5]  | passed | 0.0115 seconds  |
./spec/requests/testimonials/testimonials_spec.rb[1:6]  | passed | 0.01063 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:7]  | passed | 0.01197 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:8]  | passed | 0.00595 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:9]  | passed | 0.00398 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:10] | passed | 0.00101 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:11] | passed | 0.06131 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:12] | passed | 0.00081 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:13] | passed | 0.00108 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:14] | passed | 0.00057 seconds |
./spec/requests/testimonials/testimonials_spec.rb[1:15] | passed | 0.00322 seconds |
./spec/requests/testimonials/widget_tag_spec.rb[1:1]    | passed | 0.00101 seconds |
./spec/requests/testimonials/widget_tag_spec.rb[1:2]    | passed | 0.00138 seconds |
./spec/requests/testimonials/widget_tag_spec.rb[1:3]    | passed | 0.00164 seconds |
./spec/requests/testimonials/widget_tag_spec.rb[1:4:1]  | passed | 0.00178 seconds |
./spec/requests/testimonials/widget_tag_spec.rb[1:4:2]  | passed | 0.00235 seconds |
./spec/requests/testimonials/widget_tag_spec.rb[1:4:3]  | passed | 0.0017 seconds  |
./spec/requests/testimonials/widget_tag_spec.rb[1:4:4]  | passed | 0.00124 seconds |
./spec/requests/testimonials/widget_tag_spec.rb[1:5:1]  | passed | 0.00075 seconds |
